Date,Close,High,Low,Open,Volume
2018-01-01,5.961109638214111,5.961109638214111,5.961109638214111,5.961109638214111,0
2018-01-02,6.93756628036499,7.03206198071123,5.9926081504249895,5.9926081504249895,98141214
2018-01-03,7.000563144683838,7.63053445609641,6.819445829413943,6.953314920835375,122763718
2018-01-04,6.984813213348389,7.284049950063806,6.874567862668494,7.008436948856576,37259877
2018-01-05,7.008437156677246,7.197429299301951,6.969064513324423,7.126557339690816,17529724
2018-01-08,7.118682384490967,7.181679513921283,7.008437032495403,7.087183819775809,22327248
2018-01-09,7.268300533294678,7.496666071054243,7.102933628271605,7.142306271761839,43239347
2018-01-10,7.276175498962402,7.362797118630915,7.134432327569922,7.2761754989624015,24501480
2018-01-11,7.441542625427246,7.504539752866958,7.284049806827965,7.3627965916201035,41198710
2018-01-12,7.24467658996582,7.536038499180254,7.221052854349789,7.488791027948192,23258922
2018-01-15,7.0478105545043945,7.488791219533652,7.016311989215521,7.221053039085714,36592248
2018-01-16,7.386420726776123,7.441543028525523,6.559582445609945,6.984813454354689,45964542
2018-01-17,7.622660160064697,7.732904760918266,7.362796813788403,7.386420549544879,63708673
2018-01-18,7.717156410217285,7.788028373579165,7.62266070939647,7.756529806638893,34255395
2018-01-19,7.528164386749268,7.851024858965045,7.4809161647490265,7.732904679456948,39299477
2018-01-22,7.6935319900512695,7.725030554196428,7.5675369824856284,7.57541181126817,13816974
2018-01-23,7.788028240203857,7.8825239394063695,7.70140661936276,7.740780015110071,20641645
2018-01-24,7.756529331207275,7.929771063267489,7.7486545022086215,7.795901974230488,16637024
2018-01-25,7.63840913772583,7.780153055548885,7.61478540175033,7.756529319573385,9535564
2018-01-26,8.040017127990723,8.071515695788541,7.630534995633971,7.654159484721156,17568150
2018-01-29,8.087265014648438,8.189634792442034,7.9376462606699905,8.04789161881279,18325368
2018-01-30,8.047891616821289,8.331378714994687,7.96914482516948,8.032141958096902,11344207
2018-01-31,8.071515083312988,8.252631646660852,8.071515083312988,8.095138819622484,9460261
2018-02-01,8.12663745880127,8.394375642689457,8.079389985753378,8.150261946310257,14450320
2018-02-02,7.984894752502441,8.244758122316018,7.937646525724933,8.1738861576423,5320930
2018-02-05,7.914021968841553,8.079389618972034,7.890398233390059,7.953395361917384,4010107
2018-02-06,7.906147480010986,7.921897138312592,7.488791297823979,7.638409296764023,4953270
2018-02-07,8.315629959106445,8.315629959106445,7.992768708226336,8.047891763783225,15531364
2018-02-08,7.929771423339844,8.347128367399355,7.929771423339844,8.331378708686893,8165865
2018-02-09,7.866775035858154,8.087265772814346,7.740780758160407,7.795903066906888,7542205
2018-02-12,8.008517265319824,8.173884907266855,7.94552013991,8.000642436897353,10260049
2018-02-13,7.788028240203857,8.079390167157866,7.788028240203857,8.071515337811393,4251359
2018-02-14,7.717156410217285,7.914022641340251,7.662033354833005,7.866774415437307,3708513
2018-02-15,8.071515083312988,8.142387043226513,7.756529429236252,7.835275467262918,10886323
2018-02-16,8.040017127990723,8.189635137284093,7.9455214245972625,8.11088909328209,4504745
2018-02-19,7.882524013519287,8.118763639239264,7.82740095856075,8.095139150977719,2926055
2018-02-20,7.780153751373291,8.040017123299968,7.756530013284983,7.906148022491062,2913080
2018-02-21,8.087265014648438,8.087265014648438,7.914022523562626,7.914022523562626,4157075
2018-02-22,8.000643730163574,8.071515695451987,7.953396253961362,8.063640865756588,1819704
2018-02-23,8.008517265319824,8.08726404757459,7.977018702614912,8.032140999602264,2450244
2018-02-26,9.268462181091309,9.323584483464563,8.543994417106896,8.543994417106896,71836269
2018-02-27,8.6542387008667,9.252712179523337,8.646363871966871,9.189715050294746,26771290
2018-02-28,8.528244972229004,8.748734938227072,8.417999613737438,8.599116934760364,11609717
2018-03-01,8.28413200378418,8.732986804979152,8.268382343609204,8.551869467892587,9335821
2018-03-02,8.150261878967285,8.362877007896108,8.110888484429344,8.236882746162726,19345585
2018-03-05,8.11876392364502,8.292005671054719,8.11876392364502,8.197509967653493,6308099
2018-03-06,7.8903985023498535,8.244757550141337,7.843150278851306,8.181760419466631,7892043
2018-03-07,7.732905864715576,7.921898030699241,7.717156955624928,7.874649801457043,6537853
2018-03-08,7.701406478881836,7.843150400592591,7.677782742258393,7.74865470311377,4977249
2018-03-09,7.567537307739258,7.748654622597117,7.567537307739258,7.717156057098147,3695766
2018-03-12,7.709280967712402,7.819526318729444,7.583286709970078,7.599035616695361,10166417
2018-03-13,7.717156410217285,7.756529806638893,7.583287312974862,7.732905318194884,5224360
2018-03-14,7.914021968841553,7.945520533105215,7.75652914752324,7.7644032253503985,12405120
2018-03-15,7.8431501388549805,8.008517791670615,7.8352753099149455,7.9533954910604105,7266342
2018-03-16,8.134511947631836,8.150261605312213,7.8431500394099665,7.851024868250155,12442343
2018-03-19,8.331377983093262,8.33925281176366,8.087264302190858,8.16601033593986,16496731
2018-03-20,8.29200553894043,8.370752332679347,8.181760928888046,8.347128594951705,9054406
2018-03-21,8.622740745544434,8.732986104977032,8.299880247687982,8.299880247687982,27887543
2018-03-22,8.953475952148438,9.284211275002264,8.614865799944505,8.662114025060077,32163030
2018-03-23,9.284211158752441,9.591322740695594,8.819606746704487,8.874729800479956,28563892
2018-03-26,9.630695343017578,9.819687489304865,9.473202513599047,9.473202513599047,14482666
2018-03-27,8.984973907470703,9.835435893828235,8.969225000826679,9.803937329555179,16146112
2018-03-28,9.378706932067871,9.662194779516206,8.906228437962408,8.937727004236105,31100381
2018-03-29,9.292085647583008,9.567697902422934,9.276335989657,9.528325259577962,8794570
2018-03-30,9.189715385437012,9.441703911541216,9.000723990858857,9.355083043439157,6756093
2018-04-02,9.425954818725586,9.457453383868973,9.229088598833151,9.378706595517988,7725364
2018-04-03,9.347208976745605,9.473203250075622,9.2684629314069,9.457454341401924,5994986
2018-04-04,9.142467498779297,9.402330863662954,9.024348060554024,9.386581955692618,7356167
2018-04-05,9.158217430114746,9.347208837290117,9.040097237391317,9.16609225982666,11777915
2018-04-06,9.339333534240723,9.449578891664766,9.166091795269443,9.378706929819671,21985200
2018-04-09,8.457372665405273,9.410205204124976,8.323503575181304,9.38658146790458,32921992
2018-04-10,7.929771423339844,8.583367240205796,7.701406628904572,8.551868673765933,17793210
2018-04-11,7.543913841247559,8.07151539546923,7.039936024249003,7.8903988251168995,18111208
2018-04-12,7.504539966583252,7.748654405602841,7.3627968012997975,7.638409053951249,12291076
2018-04-13,7.402169704437256,7.599035927970002,7.3785459678891385,7.551788454873768,6085498
2018-04-16,7.827400207519531,7.843149864849377,7.4257937084134005,7.449417443423173,16176032
2018-04-17,7.764403820037842,8.19750967507419,7.677782949424598,7.937646312249395,28641774
2018-04-18,8.134511947631836,8.20538390522351,7.646283824315324,7.803776646194035,18840925
2018-04-19,8.355002403259277,8.465247760730387,8.103013873022523,8.181760664214037,11068341
2018-04-20,8.12663745880127,8.457372774076674,8.024266932550782,8.331378511302242,12530661
2018-04-23,8.12663745880127,8.12663745880127,8.12663745880127,8.12663745880127,0
2018-04-24,8.032142639160156,8.189635484832879,7.937646931756522,8.118764267518998,8008560
2018-04-25,7.819526672363281,8.126637501752866,7.677782750500367,8.071515199243976,9869686
2018-04-26,7.866775035858154,7.969145574233857,7.725031848940755,7.898273605282592,6408810
2018-04-27,7.89827299118042,8.055765826057309,7.819526949234513,7.914022650160645,5811937
2018-04-30,7.803777694702148,8.268382144906916,7.740780557486428,7.961270537741448,15236709
2018-05-01,7.803777694702148,7.8037776947021475,7.8037776947021475,7.8037776947021475,0
2018-05-02,7.764403820037842,7.898272916157897,7.591162078811355,7.788028308283781,6017878
