category,model,period,portfolio_size,transaction_cost,selection_score,strategy_total_return,bist100_total_return,excess_return_over_benchmark,strategy_max_drawdown,bist100_max_drawdown,win_rate,validation_score,out_of_sample_score,out_of_sample_stability,portfolio_consistency,robust_score
best_model_by_validation,trend_following,validation,3,0.002,2.210030057944692,5.372736389535497,3.2415637612067236,2.1311726283287733,-0.11682128519204071,-0.1617839465479347,0.625,,,,,
best_model_by_out_of_sample,mixed_model,out_of_sample,15,0.002,-0.03488686204986097,0.6093008211692705,0.621744080132635,-0.012443258963364512,-0.16444760799486113,-0.1675447420399082,0.6129032258064516,,,,,
most_robust_model,trend_following,all_splits,all,default,0.2015969739546174,,,,-0.22207821867317956,,,1.1574310873586393,-0.2867358238948213,-0.13965151624028996,-0.6697339476637192,0.2015969739546174
