model,period,portfolio_size,transaction_cost,selection_score,strategy_total_return,bist100_total_return,excess_return_over_benchmark,strategy_max_drawdown,bist100_max_drawdown,win_rate
low_volatility,out_of_sample,3,0.002,-0.47454472011039117,0.3673557558757017,0.6240272625659802,-0.2566715066902785,-0.24603338090360471,-0.1675447420399082,0.5483870967741935
low_volatility,out_of_sample,5,0.002,-0.5305117421919023,0.2851866617640155,0.6240272625659802,-0.33884060080196465,-0.22486782875948497,-0.1675447420399082,0.5161290322580645
low_volatility,out_of_sample,10,0.002,-0.3687612369137141,0.3556981973369915,0.6240272625659802,-0.2683290652289887,-0.17924834390687883,-0.1675447420399082,0.5161290322580645
low_volatility,out_of_sample,15,0.002,-0.0403155266411252,0.6060501824369711,0.6240272625659802,-0.017977080129009115,-0.1563305135786387,-0.1675447420399082,0.5806451612903226
low_volatility,train,3,0.002,0.8389741936991496,1.9217752755684825,1.075422626952499,0.8463526486159836,-0.1664799251328356,-0.24757740982109966,0.6511627906976745
low_volatility,train,5,0.002,0.3596327438803467,1.5795166141913204,1.075422626952499,0.5040939872388215,-0.2233934123769118,-0.24757740982109966,0.6046511627906976
low_volatility,train,10,0.002,0.42241804732523097,1.6584554017415716,1.075422626952499,0.5830327747890727,-0.22565620094122318,-0.24757740982109966,0.5813953488372093
low_volatility,train,15,0.002,0.44101828431937273,1.6938859107727793,1.075422626952499,0.6184632838202804,-0.24569924393650033,-0.24757740982109966,0.627906976744186
low_volatility,validation,3,0.002,1.0331482547994675,4.153850966130483,3.2415637612067236,0.9122872049237598,-0.1062361417288128,-0.1617839465479347,0.6666666666666666
low_volatility,validation,5,0.002,1.239813629122162,4.35031601039739,3.2415637612067236,1.1087522491906663,-0.11155264336758552,-0.1617839465479347,0.7083333333333334
low_volatility,validation,10,0.002,0.7253361397397657,3.8428301059106253,3.2415637612067236,0.6012663447039017,-0.10463176914873462,-0.1617839465479347,0.6666666666666666
low_volatility,validation,15,0.002,0.47990477719884234,3.593410503848898,3.2415637612067236,0.3518467426421745,-0.10263764938833275,-0.1617839465479347,0.6666666666666666
mixed_model,out_of_sample,3,0.002,-0.43234648758486127,0.29219150464857946,0.6240272625659802,-0.3318357579174007,-0.18735213902727865,-0.1675447420399082,0.5483870967741935
