date,model,portfolio_size,holdings,gross_return,transaction_cost,net_return,equity,period
2018-06-30,trend_following,3,3,0.04485771556028617,0.002,0.04285771556028617,1.0428577155602863,train
2018-07-31,trend_following,3,3,0.08169295626094626,0.002,0.07969295626094626,1.1259661298728225,train
2018-08-31,trend_following,3,3,0.06518628040165857,0.002,0.06318628040165856,1.197111741477737,train
2018-09-30,trend_following,3,3,-0.10854859759037294,0.002,-0.11054859759037294,1.064772717298404,train
2018-10-31,trend_following,3,3,0.015412979903497362,0.002,0.013412979903497362,1.07905449235732,train
2018-11-30,trend_following,3,3,-0.004494820996195914,0.002,-0.006494820996195914,1.072046226584318,train
2018-12-31,trend_following,3,3,0.13147825291764867,0.002,0.12947825291764867,1.2108528990494132,train
2019-01-31,trend_following,3,3,0.038989921899876046,0.002,0.036989921899876044,1.2556422532174896,train
2019-02-28,trend_following,3,3,-0.12364550299863841,0.002,-0.12564550299863841,1.0978764507256344,train
2019-03-31,trend_following,3,3,0.039556239862929034,0.002,0.03755623986292903,1.1391085620489476,train
2019-04-30,trend_following,3,3,0.016410458890212015,0.002,0.014410458890212014,1.1555236391538426,train
2019-05-31,trend_following,3,3,0.10253100300851466,0.002,0.10053100300851465,1.2716895895980274,train
2019-06-30,trend_following,3,3,0.05365527915894989,0.002,0.051655279158949886,1.337379070352244,train
2019-07-31,trend_following,3,3,0.07684723324215974,0.002,0.07484723324215974,1.437478193564081,train
2019-08-31,trend_following,3,3,-0.02777302681348533,0.002,-0.02977302681348533,1.3946801167632972,train
2019-09-30,trend_following,3,3,-0.10660608743197005,0.002,-0.10860608743197005,1.2432093660624723,train
2019-10-31,trend_following,3,3,0.05801317362711822,0.002,0.05601317362711822,1.312845468138589,train
2019-11-30,trend_following,3,3,0.08450703930531511,0.002,0.08250703930531511,1.4211644607801044,train
2019-12-31,trend_following,3,3,-0.0675542265481303,0.002,-0.0695542265481303,1.3223164659128537,train
2020-01-31,trend_following,3,3,-0.05027748044825431,0.002,-0.05227748044825431,1.2531890927196898,train
2020-02-29,trend_following,3,3,-0.24728413408877759,0.002,-0.2492841340887776,0.9407889348915611,train
2020-03-31,trend_following,3,3,0.11064059413733192,0.002,0.10864059413733192,1.042996803736008,train
2020-04-30,trend_following,3,3,0.08814112591008705,0.002,0.08614112591008705,1.13284172273045,train
2020-05-31,trend_following,3,3,0.10212560171668783,0.002,0.10012560171668783,1.2462681818686054,train
2020-06-30,trend_following,3,3,-0.01983130957487818,0.002,-0.02183130957487818,1.2190605153769112,train
2020-07-31,trend_following,3,3,-0.05343257164541263,0.002,-0.05543257164541263,1.151484856018187,train
2020-08-31,trend_following,3,3,0.11651170029718878,0.002,0.11451170029718878,1.283343344747293,train
2020-09-30,trend_following,3,3,0.040494310944961844,0.002,0.03849431094496184,1.3327447625091426,train
2020-10-31,trend_following,3,3,0.04639948919511864,0.002,0.04439948919511864,1.3919179491920184,train
2020-11-30,trend_following,3,3,0.18944893314083755,0.002,0.18744893314083755,1.6528314837876448,train
2020-12-31,trend_following,3,3,-0.0325248155793069,0.002,-0.0345248155793069,1.5957677816262041,train
2021-01-31,trend_following,3,3,0.008727783023137037,0.002,0.006727783023137037,1.6065037610162982,train
2021-02-28,trend_following,3,3,0.013581641114602841,0.002,0.011581641114602841,1.6251097110256487,train
2021-03-31,trend_following,3,3,0.10804333710085427,0.002,0.10604333710085427,1.7974417679378134,train
2021-04-30,trend_following,3,3,-0.04995619441227739,0.002,-0.05195619441227739,1.704053533998089,train
2021-05-31,trend_following,3,3,-0.07054998615580599,0.002,-0.07254998615580599,1.5804244736977753,train
2021-06-30,trend_following,3,3,-0.013775678635887245,0.002,-0.015775678635887247,1.555492205092428,train
2021-07-31,trend_following,3,3,0.073082314638712,0.002,0.071082314638712,1.666060191432872,train
2021-08-31,trend_following,3,3,0.03098446308742712,0.002,0.028984463087427123,1.71435005155289,train
2021-09-30,trend_following,3,3,0.11688817846591992,0.002,0.11488817846591992,1.9113086062287574,train
2021-10-31,trend_following,3,3,0.23740881346374887,0.002,0.23540881346374887,2.3612474973841207,train
2021-11-30,trend_following,3,3,-0.031234061708166266,0.002,-0.033234061708166264,2.2827736523478035,train
2021-12-31,trend_following,3,3,0.021052220883246837,0.002,0.01905222088324684,2.3262655601987903,train
2022-01-31,trend_following,3,3,-0.05156193370101788,0.002,-0.05356193370101788,2.2016662784924614,validation
2022-02-28,trend_following,3,3,0.14594570890852898,0.002,0.14394570890852898,2.5185866917300617,validation
2022-03-31,trend_following,3,3,0.10559103638203478,0.002,0.10359103638203478,2.779489697344379,validation
2022-04-30,trend_following,3,3,0.14966689066365002,0.002,0.14766689066365002,3.189928298582873,validation
2022-05-31,trend_following,3,3,-0.03535364125201731,0.002,-0.03735364125201731,3.0707728612979506,validation
2022-06-30,trend_following,3,3,0.02455944806405334,0.002,0.022559448064053342,3.1400478021789064,validation
2022-07-31,trend_following,3,3,0.25796382097787807,0.002,0.25596382097787806,3.9437864356778074,validation
2022-08-31,trend_following,3,3,-0.06171863182499485,0.002,-0.06371863182499485,3.6924937597864447,validation
2022-09-30,trend_following,3,3,0.360593432018907,0.002,0.358593432018907,5.016597769816664,validation
2022-10-31,trend_following,3,3,0.2390651691430017,0.002,0.23706516914300169,6.205858368640656,validation
2022-11-30,trend_following,3,3,0.21976812822556954,0.002,0.21776812822556954,7.557296529612517,validation
2022-12-31,trend_following,3,3,-0.026709266057203213,0.002,-0.02870926605720321,7.3403320928706925,validation
2023-01-31,trend_following,3,3,0.03830927877902912,0.002,0.03630927877902912,7.606854257161388,validation
2023-02-28,trend_following,3,3,-0.028430979376821004,0.002,-0.030430979376821002,7.375370232139227,validation
2023-03-31,trend_following,3,3,-0.0007952380013400336,0.002,-0.002795238001340034,7.354754316992399,validation
2023-04-30,trend_following,3,3,-0.0006790744695348202,0.002,-0.0026790744695348204,7.335050382472043,validation
2023-05-31,trend_following,3,3,0.2839333614880403,0.002,0.2819333614880403,9.403045793486523,validation
2023-06-30,trend_following,3,3,0.2530889553538083,0.002,0.2510889553538083,11.764046738917076,validation
2023-07-31,trend_following,3,3,0.03010975916422054,0.002,0.028109759164220538,12.094731259544668,validation
2023-08-31,trend_following,3,3,0.13023291006132762,0.002,0.12823291006132762,13.645673845365787,validation
2023-09-30,trend_following,3,3,-0.11482135711074852,0.002,-0.11682135711074852,12.05156770805951,validation
2023-10-31,trend_following,3,3,0.13117654921458746,0.002,0.12917654921458746,13.608347637212594,validation
2023-11-30,trend_following,3,3,-0.0024227237492922362,0.002,-0.004422723749292236,13.548161674928869,validation
2023-12-31,trend_following,3,3,0.09622065001665463,0.002,0.09422065001665463,14.824678274471395,validation
2024-01-31,trend_following,3,3,0.03024324572304604,0.002,0.02824324572304604,15.243375305742395,out_of_sample
2024-02-29,trend_following,3,3,-0.03248367850984879,0.002,-0.03448367850984879,14.717727652294206,out_of_sample
2024-03-31,trend_following,3,3,0.1436641323354025,0.002,0.1416641323354025,16.802701770105223,out_of_sample
2024-04-30,trend_following,3,3,0.05722010014444967,0.002,0.05522010014444967,17.730548644547756,out_of_sample
2024-05-31,trend_following,3,3,0.005773361029383121,0.002,0.003773361029383121,17.797452405832672,out_of_sample
2024-06-30,trend_following,3,3,0.1009219177418903,0.002,0.0989219177418903,19.55801052873766,out_of_sample
2024-07-31,trend_following,3,3,-0.09941258746463862,0.002,-0.10141258746463862,17.57458207535773,out_of_sample
2024-08-31,trend_following,3,3,0.02366765432889058,0.002,0.021667654328890583,17.955382044741295,out_of_sample
2024-09-30,trend_following,3,3,-0.10121645768929007,0.002,-0.10321645768929007,16.102091113625217,out_of_sample
2024-10-31,trend_following,3,3,0.028634488484883185,0.002,0.026634488484883187,16.53096207397361,out_of_sample
2024-11-30,trend_following,3,3,0.007583950923557496,0.002,0.005583950923557496,16.623270154913868,out_of_sample
2024-12-31,trend_following,3,3,0.08804311586644409,0.002,0.08604311586644409,18.053588114932325,out_of_sample
2025-01-31,trend_following,3,3,-0.014168773804131876,0.002,-0.016168773804131877,17.76168373234902,out_of_sample
2025-02-28,trend_following,3,3,0.05172828339708354,0.002,0.04972828339708354,18.644941774600643,out_of_sample
2025-03-31,trend_following,3,3,-0.053046466832550286,0.002,-0.05504646683255029,17.618603605610257,out_of_sample
2025-04-30,trend_following,3,3,-0.03774072852832663,0.002,-0.03974072852832663,16.918427462671502,out_of_sample
2025-05-31,trend_following,3,3,0.12215266362578829,0.002,0.12015266362578829,18.95122158667117,out_of_sample
2025-06-30,trend_following,3,3,0.036447834298385794,0.002,0.03444783429838579,19.60405012764081,out_of_sample
2025-07-31,trend_following,3,3,0.002951942149139667,0.002,0.0009519421491396671,19.62271204925116,out_of_sample
2025-08-31,trend_following,3,3,0.016333474568642353,0.002,0.014333474568642353,19.90397369337689,out_of_sample
2025-09-30,trend_following,3,3,0.008593546684978914,0.002,0.006593546684978914,20.035211473140762,out_of_sample
2025-10-31,trend_following,3,3,-0.06874133824538275,0.002,-0.07074133824538276,18.617893801501538,out_of_sample
2025-11-30,trend_following,3,3,0.001930561200185495,0.002,-6.9438799814505e-05,18.61660099730089,out_of_sample
2025-12-31,trend_following,3,3,0.275326540254691,0.002,0.273326540254691,23.70501213919517,out_of_sample
2026-01-31,trend_following,3,3,-0.025242721376220818,0.002,-0.027242721376220816,23.059223098267143,out_of_sample
2026-02-28,trend_following,3,3,-0.12860109111342613,0.002,-0.13060109111342613,20.047663401405536,out_of_sample
2026-03-31,trend_following,3,3,0.08710609410634285,0.002,0.08510609410634284,21.753841729457843,out_of_sample
2026-04-30,trend_following,3,3,-0.01829716587105819,0.002,-0.02029716587105819,21.312300395542287,out_of_sample
2026-05-31,trend_following,3,3,0.02403051534828471,0.002,0.022030515348284707,21.781821356513536,out_of_sample
2026-06-30,trend_following,3,3,0.012575592035971325,0.002,0.010575592035971325,22.01217701298043,out_of_sample
