date,rank,symbol,score,momentum_1m,momentum_3m,momentum_6m,volume_increase,above_ma,volatility,model
2018-06-30,1,TUPRS.IS,0.8279411764705883,0.021677627844298053,-0.01185051490719613,0.0027098479627909455,0.017060638235845138,0.5,0.022096124461886565,momentum_heavy
2018-06-30,2,SISE.IS,0.813235294117647,0.07594943466102722,-0.12556013734493077,-0.07779678578304783,0.17858673386478663,0.5,0.020316189769260393,momentum_heavy
2018-06-30,3,FROTO.IS,0.801470588235294,-0.05116271137069528,0.013245196248011126,0.061563309785929166,0.244803390899484,0.5,0.025279310617729457,momentum_heavy
2018-06-30,4,BIMAS.IS,0.7411764705882353,-0.016806317707163232,-0.042281356230458145,-0.10024848754819038,0.06057839919707564,0.0,0.017467933483160662,momentum_heavy
2018-06-30,5,EREGL.IS,0.6676470588235294,-0.098230140506119,0.034344573531836176,0.09330198010065338,-0.04068686241485342,0.0,0.026455051701684627,momentum_heavy
2018-06-30,6,TCELL.IS,0.6352941176470588,0.027116992630385583,-0.18515839119985056,-0.1581805409642537,0.14693976076774806,0.0,0.0181068240116998,momentum_heavy
2018-06-30,7,YKBNK.IS,0.5882352941176471,-0.0530706957562459,-0.13037111896758602,-0.13037111896758602,0.40828946776387975,0.0,0.02597341774184341,momentum_heavy
2018-06-30,8,KCHOL.IS,0.5779411764705883,0.01063830973711366,-0.08887468510381225,-0.20714280906831928,-0.12156814347721578,0.5,0.023717290124133573,momentum_heavy
2018-06-30,9,TOASO.IS,0.5411764705882353,-0.02263531392360918,-0.08547652639169812,-0.21671792310694105,-0.03900353796831202,0.0,0.021435192765243808,momentum_heavy
2018-06-30,10,SAHOL.IS,0.488235294117647,-0.05359042152846594,-0.14021413845846908,-0.1861936445252047,0.017053710090008556,0.0,0.016868984164372266,momentum_heavy
2018-06-30,11,GARAN.IS,0.4411764705882353,-0.06368720014456086,-0.1912271269833462,-0.16893196556953294,0.08876255581065418,0.0,0.023324179735668686,momentum_heavy
2018-06-30,12,AKBNK.IS,0.388235294117647,-0.06683165667500546,-0.20547938602582438,-0.2008531586048996,0.2760180537599317,0.0,0.020337197730522668,momentum_heavy
2018-06-30,13,ASELS.IS,0.3676470588235294,-0.024951962801440297,-0.23495233871138876,-0.283391178771234,1.2222395573156035,0.0,0.023315059805889774,momentum_heavy
2018-06-30,14,PETKM.IS,0.3352941176470588,0.03198315560332654,-0.37343249026715863,-0.3802927118709458,0.18167972075744787,0.0,0.02783957105481668,momentum_heavy
2018-06-30,15,ARCLK.IS,0.3352941176470588,-0.08834122607605799,-0.1618784833039585,-0.27170526363282366,0.08168681671424438,0.0,0.021066866056545445,momentum_heavy
2018-06-30,16,THYAO.IS,0.2794117647058823,-0.1893028630378507,-0.30535529992766164,-0.1718846710170212,0.10434099110487227,0.0,0.03059948221559111,momentum_heavy
2018-06-30,17,PGSUS.IS,0.17058823529411765,-0.07813681382006166,-0.3083428454167173,-0.3052095926840087,0.007889418682407001,0.0,0.02732566733365261,momentum_heavy
2018-07-31,1,SISE.IS,0.913235294117647,0.18720381783396478,0.17606060692056746,0.06474605816234225,0.16416353329177502,0.5,0.021469497293436557,momentum_heavy
2018-07-31,2,EREGL.IS,0.8514705882352941,0.08325180990382042,0.11109164627345591,0.2108629971892655,0.15383595695618268,0.5,0.027140792163404006,momentum_heavy
2018-07-31,3,THYAO.IS,0.7544117647058822,0.23622039760748992,0.03104469434916779,-0.0023108317403855994,0.4157775667768957,0.5,0.03425574167511228,momentum_heavy
2018-07-31,4,ASELS.IS,0.7514705882352941,0.14129521474019313,0.09573790204266341,-0.1586903754802641,0.768603772749626,0.5,0.027097033356665863,momentum_heavy
2018-07-31,5,TUPRS.IS,0.7367647058823529,-0.0018569791086607834,0.05599211506192603,0.09905657683247981,-0.17288415396564027,0.5,0.02344597066240994,momentum_heavy
2018-07-31,6,BIMAS.IS,0.7220588235294119,0.07099715383442207,0.04406238670698159,-0.02905715388591068,0.11197276535233791,0.5,0.019872180415972433,momentum_heavy
2018-07-31,7,TCELL.IS,0.6014705882352941,0.06970946310874604,-0.0054367762914958595,-0.13722283150417247,0.15624384702291572,0.5,0.022925437660267535,momentum_heavy
2018-07-31,8,PGSUS.IS,0.5838235294117646,0.14308306919989122,0.029914623908210647,-0.20767115065663555,0.3609777501886531,0.5,0.031027194121471535,momentum_heavy
2018-07-31,9,FROTO.IS,0.5411764705882353,-0.03830499698204537,0.029668324609698038,0.007411806716145275,-0.081240691591831,0.0,0.024591226966068674,momentum_heavy
2018-07-31,10,KCHOL.IS,0.5102941176470588,-0.034194020400105996,0.03283593461267165,-0.20662014940416618,-0.15017030484829297,0.5,0.024321372694045405,momentum_heavy
2018-07-31,11,TOASO.IS,0.4647058823529412,-0.024597081195919746,-0.08220265644650848,-0.20228149946756613,-0.06553409890663742,0.0,0.02306116062138111,momentum_heavy
2018-07-31,12,SAHOL.IS,0.3676470588235294,-0.04185518991514481,-0.12770342277244517,-0.20658711429946397,-0.047141750705515184,0.0,0.019483899086549204,momentum_heavy
2018-07-31,13,AKBNK.IS,0.3205882352941177,-0.038615257569717065,-0.11411059042339178,-0.28963480925014506,0.1577065891751852,0.0,0.024063933167349515,momentum_heavy
2018-07-31,14,PETKM.IS,0.28382352941176475,0.017671600201600413,-0.27157735383429027,-0.3274308065086222,-0.21615510191745912,0.5,0.029865133153472233,momentum_heavy
2018-07-31,15,YKBNK.IS,0.26176470588235295,-0.14170043643328867,-0.17914382159194653,-0.271762574077104,0.3116948057199542,0.0,0.029215996833031138,momentum_heavy
2018-07-31,16,GARAN.IS,0.17058823529411765,-0.1589560287427363,-0.2051567931795395,-0.37840486147379226,0.5030332767126449,0.0,0.028506457199428008,momentum_heavy
2018-07-31,17,ARCLK.IS,0.16470588235294117,-0.1844155676923418,-0.2975390509109378,-0.3292496307251417,0.797313364541403,0.0,0.02331697708861236,momentum_heavy
2018-08-31,1,SISE.IS,0.9308823529411764,0.23246494995764766,0.5185185519424051,0.30166727322625353,0.013213221986747792,0.5,0.02469181985728983,momentum_heavy
2018-08-31,2,TUPRS.IS,0.7897058823529413,0.05709196615832579,0.10747668430866097,0.17319293767577681,0.3413655476378836,0.5,0.027317601427229145,momentum_heavy
2018-08-31,3,PETKM.IS,0.7632352941176471,0.29274045336242205,0.3737560506846689,-0.17963445673739287,0.5785299968983215,0.5,0.035577024329514456,momentum_heavy
2018-08-31,4,BIMAS.IS,0.7602941176470588,0.04538892204749834,0.10932717166845451,-0.015083000819577586,0.09169251834796377,0.5,0.02060597024903976,momentum_heavy
2018-08-31,5,FROTO.IS,0.7397058823529412,0.15930741922597536,0.03959606376740066,0.11206220059496008,0.1328795894077599,0.5,0.029284347030113445,momentum_heavy
2018-08-31,6,KCHOL.IS,0.7102941176470587,0.11498521173480847,0.06975075511143425,-0.11962998484840759,-0.02003223939777432,0.5,0.021475445393580053,momentum_heavy
2018-08-31,7,EREGL.IS,0.6838235294117647,-0.019933552888277806,0.04982191379439027,0.1921295511560106,0.06063146811710718,0.5,0.02908464691843976,momentum_heavy
2018-08-31,8,TOASO.IS,0.5985294117647058,0.06586271995347115,-0.04488783334637292,-0.174336278077162,0.14298933067650954,0.5,0.023371533265325595,momentum_heavy
2018-08-31,9,ASELS.IS,0.5705882352941176,-0.010736398956648907,0.09090367876017313,-0.14574720822360776,-0.23172688250396334,0.0,0.031180434796450104,momentum_heavy
2018-08-31,10,THYAO.IS,0.5220588235294117,-0.03725603214124562,0.017500033710819318,-0.037824953527582195,-0.21542133939868302,0.5,0.03358869676441369,momentum_heavy
2018-08-31,11,ARCLK.IS,0.47205882352941175,0.101821300841485,-0.1429490348186464,-0.27039255041444943,-0.05201201459181637,0.5,0.02425372907719238,momentum_heavy
2018-08-31,12,TCELL.IS,0.3676470588235294,-0.13834931240335835,-0.06419957839505397,-0.26210870847309453,0.004368507948220746,0.0,0.028075545241645936,momentum_heavy
2018-08-31,13,SAHOL.IS,0.3441176470588236,-0.09608082004377039,-0.19209037296347253,-0.3120832316558686,0.17736522938456334,0.0,0.023834425231731064,momentum_heavy
2018-08-31,14,PGSUS.IS,0.25,-0.18437278312467986,-0.07894727348095898,-0.3192219351650859,0.12693666298952566,0.0,0.03228565999305168,momentum_heavy
2018-08-31,15,AKBNK.IS,0.20588235294117646,-0.14222224857614685,-0.23513870816005555,-0.42654350710275113,-0.0009046302022347463,0.0,0.028367535451405964,momentum_heavy
2018-08-31,16,GARAN.IS,0.16176470588235292,-0.11764714763400452,-0.28571420354947463,-0.4570869441529122,-0.16617097462407282,0.0,0.032145207255547904,momentum_heavy
2018-08-31,17,YKBNK.IS,0.12941176470588237,-0.15422892989177184,-0.2961286594761171,-0.4419624915711238,0.020799052864238554,0.0,0.03244571743299565,momentum_heavy
2018-09-30,1,BIMAS.IS,0.8205882352941177,0.1286513757752914,0.21846871695159775,0.15648089869624626,-0.074331161408133,0.5,0.017121324314969735,momentum_heavy
2018-09-30,2,THYAO.IS,0.7735294117647058,0.15370704392836987,0.38494930399392735,-0.016949186536118765,-0.2473689843656247,0.5,0.028041589169542743,momentum_heavy
2018-09-30,3,TUPRS.IS,0.7647058823529412,0.08794802690739356,0.21234135097040285,0.21124223842355727,-0.03878292586065535,0.5,0.026001506156472343,momentum_heavy
2018-09-30,4,KCHOL.IS,0.7441176470588236,0.134259122585912,0.21803980036841342,0.07053680101309334,-0.2579356634206239,0.5,0.018894713621747647,momentum_heavy
2018-09-30,5,SISE.IS,0.7147058823529412,0.0034363613755996614,0.34562210488934175,0.17353060814032584,0.07961609214361198,0.5,0.02656084359330412,momentum_heavy
2018-09-30,6,FROTO.IS,0.6294117647058823,0.06229782015704988,0.09053136415618535,0.07622963054597975,0.4097780756999332,0.5,0.026350396721493575,momentum_heavy
2018-09-30,7,ASELS.IS,0.5323529411764706,0.06001689988543979,0.15565769252307815,-0.025970305567742602,-0.2490584932277562,0.5,0.027187553009451637,momentum_heavy
2018-09-30,8,TCELL.IS,0.49999999999999994,0.07273162850575177,-0.025109714285468265,-0.2022241614985657,0.09127970307052635,0.5,0.0299499225046789,momentum_heavy
2018-09-30,9,PGSUS.IS,0.4941176470588236,0.12841769490808708,0.06991355125835796,-0.23611887756315797,0.07591363147633734,0.5,0.0334257699351289,momentum_heavy
2018-09-30,10,EREGL.IS,0.48676470588235293,-0.041415068511971076,0.052083331034707525,0.11194997733444167,-0.10648160730590828,0.0,0.026216800500765462,momentum_heavy
