model,validation_score,out_of_sample_score,out_of_sample_stability,drawdown_penalty,portfolio_consistency,robust_score
trend_following,1.1574310873586406,-0.2867358238948216,-0.13965151624029046,0.22207821867318012,-0.6697339476637189,0.20159697395461768
mixed_model,1.0402327789020216,-0.2952693249458119,-0.16044035728988448,0.19710040669285345,-0.5022786050061868,0.17475527198578095
momentum_heavy,0.9133800830336951,-0.23274464970672504,-0.17763507377914706,0.20664788449341598,-0.4103882490858926,0.1587552809285939
low_volatility,0.8695498624659348,-0.35600799072224015,-0.184886405529169,0.24603340345515468,-0.29003402328302547,0.1076442718835582
volume_heavy,0.3686019110078226,-0.41692323197377695,-0.1851859273131578,0.22071278746406964,-0.3395483027903937,-0.09145716409484614
