policy_id,policy_name,date,symbol,rank,score,relative_strength_1m,relative_strength_3m,relative_strength_6m,relative_strength_20d,trend_score,volume_increase,volatility,avg_traded_value,forward_return
OLD_TOP3,Old absolute-score Top3,2023-08-21,TURSG.IS,1,0.8680722891566266,0.39158907304491253,0.7472434552607536,0.9739076006497835,0.4191202405726462,1.0,0.7530563612048198,0.035057529029876675,287345935.1320867,0.09582293687793819
OLD_TOP3,Old absolute-score Top3,2023-08-21,MIATK.IS,2,0.8500000000000001,0.30709703420477674,0.7965954750711566,1.083514313399587,0.17476752318283162,1.0,0.6718377018931767,0.04044454412271417,679087757.2490638,0.34155514637397966
OLD_TOP3,Old absolute-score Top3,2023-08-21,ISMEN.IS,3,0.8325301204819279,0.718248183496957,1.876188345672698,2.0200441687937074,0.7623391317119641,1.0,0.4467828574429784,0.0402647999726301,436381467.7866374,0.09179500258483597
OLD_TOP3,Old absolute-score Top3,2023-09-01,TURSG.IS,1,0.8536144578313254,0.38592347700599494,0.7471960780697191,1.1620899560968512,0.25112934117289476,1.0,0.5194736595925145,0.037219320418820166,320556104.2466456,0.4647295768374735
OLD_TOP3,Old absolute-score Top3,2023-09-01,ANSGR.IS,2,0.8409638554216867,0.4165139235229254,0.5340261316228248,0.7554487322677261,0.27295908446749806,1.0,1.29628004020143,0.04185190709230367,233613613.75163677,0.3913267656765962
OLD_TOP3,Old absolute-score Top3,2023-09-01,AGHOL.IS,3,0.8114457831325301,0.44921567531161677,0.5992690654554409,0.9143097143883618,0.3774840392091767,1.0,0.34127577445284807,0.03393956636369119,357389295.8067426,0.03720936852090695
OLD_TOP3,Old absolute-score Top3,2023-10-02,BTCIM.IS,1,0.8547619047619048,0.43358819166941176,0.6157402788346331,0.9543103976077094,0.3263108460579036,1.0,0.3795046141284095,0.034910992719142275,254229638.77407822,0.2482348167988866
OLD_TOP3,Old absolute-score Top3,2023-10-02,CIMSA.IS,2,0.8517857142857143,0.2799085856231942,0.6895390260417498,1.2707645223089075,0.30489588483644914,1.0,0.40891685070030515,0.043355990098657614,1663413735.7891827,-0.11968348061114853
OLD_TOP3,Old absolute-score Top3,2023-10-02,ULKER.IS,3,0.8375,0.34546455631985684,1.1894827561376082,1.2573161632580612,0.3118851998637011,1.0,0.27266155571319883,0.04478521942961463,1500189256.3351233,-0.2049224092238845
OLD_TOP3,Old absolute-score Top3,2023-11-01,BSOKE.IS,1,0.91,0.7965017896276191,1.2438483277522647,1.329279652227325,0.6266817837030884,1.0,0.24793156759406165,0.048553229138443364,175590717.0282658,0.5252526225563063
OLD_TOP3,Old absolute-score Top3,2023-11-01,KONYA.IS,2,0.898235294117647,0.3209043461177773,0.680177207195755,1.261150617106044,0.36549170246268947,1.0,0.3715715334183276,0.04719303224835646,692887658.9701684,0.2787069718983859
OLD_TOP3,Old absolute-score Top3,2023-11-01,BRSAN.IS,3,0.8864705882352941,0.24660792834692746,1.6577570972951596,6.339531127594233,0.2553669929190553,1.0,0.08667116046126733,0.06439908003281533,3019431229.5879374,-0.21175101803374052
OLD_TOP3,Old absolute-score Top3,2023-12-01,EGEEN.IS,1,0.866860465116279,0.33012336327444336,0.7841657499550598,1.1105375837490081,0.35259150910037684,1.0,-0.10681235975137526,0.04402386152035121,527006646.789295,-0.14274414933436852
OLD_TOP3,Old absolute-score Top3,2023-12-01,BFREN.IS,2,0.8639534883720931,0.12058823746212677,0.7956741533899778,1.5640111899674984,0.1519821198365372,1.0,-0.0968973360961285,0.05135511763875639,303407381.9271153,-0.06899419072338708
OLD_TOP3,Old absolute-score Top3,2023-12-01,KONYA.IS,3,0.8215116279069767,0.230932643388843,0.7583678939455949,1.4562841193587204,0.27543497993005106,1.0,-0.17312817482167187,0.041831527377494966,431108591.4285714,-0.23867375348013165
OLD_TOP3,Old absolute-score Top3,2024-01-02,AEFES.IS,1,0.8982758620689655,0.286644485442342,0.33054577254991124,0.7263250040101239,0.26037719546693916,1.0,0.09825043989379734,0.03125559002551649,444156164.57266855,0.08985508194036784
OLD_TOP3,Old absolute-score Top3,2024-01-02,CCOLA.IS,2,0.8936781609195402,0.2863197244121696,0.39332890697237555,0.7208857817985042,0.23357667357093082,1.0,-0.01393208655263678,0.025982481081648405,223331016.52923584,0.06321849449205219
OLD_TOP3,Old absolute-score Top3,2024-01-02,AKBNK.IS,3,0.8706896551724137,0.09827805573966031,0.17776175876226974,0.544403494984323,0.06607342026136309,1.0,0.12784820814130682,0.026573841003547875,3518027139.791344,0.09688014098829023
OLD_TOP3,Old absolute-score Top3,2024-02-01,KCAER.IS,1,0.8755681818181819,0.2383123037448669,0.37048549403180675,0.7943916206658801,0.20758916178954512,1.0,0.35952995009775,0.038092548601445377,495420935.87883425,0.38287143930702006
OLD_TOP3,Old absolute-score Top3,2024-02-01,EKGYO.IS,2,0.7948863636363637,0.3218717791329322,0.4342352199683981,-0.03585039597217543,0.2649556167643681,1.0,0.1924965015375557,0.027853431447194852,2438207364.8135405,0.10742191170539495
OLD_TOP3,Old absolute-score Top3,2024-02-01,SDTTR.IS,3,0.7829545454545456,0.2274392785750019,0.1197360456872949,-0.010855540870298164,0.2678953461743414,1.0,0.5027563453110195,0.03837906306273417,537987574.0745457,-0.005928906891654706
OLD_TOP3,Old absolute-score Top3,2024-03-01,MIATK.IS,1,0.8803370786516853,0.789871590234652,0.9218285578485912,1.3562463027361276,0.7433475774545957,1.0,0.5421305425350438,0.055468214781255035,3857441158.349456,-0.2011104557435831
