policy_id,policy_name,frequency,portfolio_size,total_return,benchmark_total_return,cagr,bist100_cagr,excess_cagr,monthly_win_rate_vs_bist100,average_monthly_excess_return,max_drawdown,average_monthly_turnover,average_trades_per_month,transaction_cost_impact,worst_underperformance_month,worst_underperformance,best_outperformance_month,best_outperformance,intervals
A,Current baseline monthly Top3,monthly,3,0.7398513979532659,0.8602725431255085,0.24922721162769368,0.2832756712758253,-0.034048459648131635,0.4482758620689655,-0.001514493462208819,-0.19322313636932875,1.2298850574712643,3.689655172413793,0.12596963629206903,2024-04,-0.1058565600855218,2025-04,0.15268477513935752,30
B,Weekly rebalance Top3,weekly,3,-0.07518491928784299,0.8602725431255089,-0.030918406621008865,0.2832756712758253,-0.3141940778968342,0.36666666666666664,-0.022026294340512596,-0.4212649024072842,3.211111111111111,9.633333333333333,0.19734574164324792,2024-03,-0.12424866727524064,2025-03,0.12405617366861588,130
C,Weekly rebalance Top5,weekly,5,0.17527664477753357,0.8602725431255089,0.06704653380315828,0.2832756712758253,-0.21622913747266703,0.4,-0.014559978253126094,-0.36445748819739643,2.7666666666666666,13.833333333333334,0.21248498981464414,2024-08,-0.09162972706058137,2026-03,0.0667894484108047,130
D,Relative Strength Top3,weekly,3,-0.03184298378989214,0.8602725431255089,-0.012918964713132475,0.2832756712758253,-0.2961946359889578,0.3333333333333333,-0.02116108045803272,-0.3516944102830881,4.366666666666666,13.1,0.2893147694818692,2026-02,-0.14582724423887183,2025-03,0.06671740788851754,130
E,Benchmark-aware Top3,weekly,3,-0.09238859648608222,0.8602725431255089,-0.03820268952259154,0.2832756712758253,-0.32147836079841685,0.3,-0.02344811685604059,-0.3870358250268393,4.388888888888888,13.166666666666666,0.27311775146998674,2026-02,-0.11732555720505422,2025-03,0.062495587719244794,130
F,Leadership Rotation Overlay,weekly,3,-0.1268014559604912,0.8602725431255089,-0.053025443234995584,0.2832756712758253,-0.3363011145108209,0.36666666666666664,-0.02394554420273155,-0.4215803340998112,4.277777777777777,12.833333333333334,0.25563020525865576,2026-02,-0.11732555720505422,2024-04,0.07400427186146619,130
