symbol,momentum_1m,momentum_3m,momentum_6m,volume_increase,above_ma,volatility,momentum_1m_contribution,momentum_3m_contribution,momentum_6m_contribution,volume_increase_contribution,above_ma_contribution,volatility_penalty_contribution,score,rank,model,momentum_1m_relative_contribution,momentum_3m_relative_contribution,momentum_6m_relative_contribution,volume_increase_relative_contribution,above_ma_relative_contribution,volatility_penalty_relative_contribution,expected_return_low,expected_return_mid,expected_return_high,snapshot_date,benchmark_date,policy,regime_status,bist100_close,bist100_ma200,bist100_below_ma200,active_model,active_portfolio_size,min_buy_expected_return,opportunity_filter_percentile,recommended,opportunity_threshold,action,confidence_score
TUPRS.IS,0.21142617307348077,0.0719557195571956,0.23534643243920184,0.1517351797316644,1.0,0.02427409939975779,0.15,0.18823529411764706,0.1411764705882353,0.26764705882352935,0.09411764705882353,0.023529411764705882,0.8647058823529412,1,volume_heavy,0.17346938775510204,0.21768707482993196,0.16326530612244897,0.3095238095238094,0.10884353741496598,0.027210884353741496,-0.0533881322087832,0.0028744715540109,0.1274260827597302,2026-08-03,2026-08-04,defensive_mode,ABOVE_MA200_RISK_ON,13687.900390625,12944.968037109375,False,volume_heavy,10,0.0,0.5,True,0.01776074409639125,HOLD,64.9
BIMAS.IS,0.06013986013986017,0.04376430713202306,0.11477382268798864,0.10211491337069223,1.0,0.021098240103587143,0.1411764705882353,0.16470588235294117,0.1323529411764706,0.1852941176470588,0.09411764705882353,0.03823529411764706,0.7558823529411764,2,volume_heavy,0.1867704280155642,0.2178988326848249,0.17509727626459146,0.245136186770428,0.1245136186770428,0.050583657587548646,-0.0156773487587726,0.0485934335110049,0.0892150802528868,2026-08-03,2026-08-04,defensive_mode,ABOVE_MA200_RISK_ON,13687.900390625,12944.968037109375,False,volume_heavy,10,0.0,0.5,True,0.01776074409639125,BUY,64.9
THYAO.IS,-0.04876219054763686,0.05403158769742311,0.04276315789473695,0.13698264174031705,0.5,0.021451249354980714,0.08823529411764706,0.17647058823529413,0.11470588235294116,0.22647058823529412,0.07647058823529412,0.03529411764705883,0.7176470588235294,3,volume_heavy,0.12295081967213116,0.24590163934426232,0.15983606557377047,0.3155737704918033,0.10655737704918034,0.049180327868852465,-0.0557183387298561,0.0095541401273886,0.1846001644787691,2026-08-03,2026-08-04,defensive_mode,ABOVE_MA200_RISK_ON,13687.900390625,12944.968037109375,False,volume_heavy,10,0.0,0.5,True,0.01776074409639125,HOLD,64.9
KCHOL.IS,0.015487868080873657,-0.003546083940657363,-0.01755140734932792,0.07017225839186181,1.0,0.020900275354299485,0.1323529411764706,0.15294117647058825,0.09705882352941177,0.16470588235294117,0.09411764705882353,0.041176470588235294,0.6823529411764705,4,volume_heavy,0.19396551724137934,0.22413793103448282,0.14224137931034486,0.24137931034482762,0.13793103448275865,0.060344827586206906,-0.00910881847632135,0.0259673480653939,0.0466708728798923,2026-08-03,2026-08-04,defensive_mode,ABOVE_MA200_RISK_ON,13687.900390625,12944.968037109375,False,volume_heavy,10,0.0,0.5,True,0.01776074409639125,BUY,64.9
TCELL.IS,-0.03597787334853342,-0.058558558558558516,-0.10607357881970458,0.19217576298135408,0.0,0.02321767021773628,0.09705882352941177,0.10588235294117648,0.07941176470588235,0.28823529411764703,0.03529411764705883,0.02647058823529412,0.6323529411764706,5,volume_heavy,0.15348837209302327,0.1674418604651163,0.1255813953488372,0.45581395348837206,0.055813953488372106,0.041860465116279076,-0.0615866518007279,-0.0094097387490417,0.026363721903468,2026-08-03,2026-08-04,defensive_mode,ABOVE_MA200_RISK_ON,13687.900390625,12944.968037109375,False,volume_heavy,10,0.0,0.5,True,0.01776074409639125,SELL,64.9
EREGL.IS,-0.0024509430389955122,0.1516861713065636,0.4639246889613462,-0.12983488516828423,0.5,0.027962397100942036,0.11470588235294116,0.2,0.15,0.061764705882352944,0.07647058823529412,0.014705882352941178,0.6176470588235294,6,volume_heavy,0.18571428571428567,0.3238095238095238,0.24285714285714283,0.1,0.12380952380952381,0.02380952380952381,-0.0573247571233663,0.0345253730965184,0.09697840893602935,2026-08-03,2026-08-04,defensive_mode,ABOVE_MA200_RISK_ON,13687.900390625,12944.968037109375,False,volume_heavy,10,0.0,0.5,True,0.01776074409639125,BUY,64.9
PETKM.IS,0.011664862472684279,-0.20698252920934845,0.03470712424689992,0.19889334101854717,0.0,0.03035418390937127,0.12352941176470587,0.023529411764705882,0.10588235294117647,0.30882352941176466,0.03529411764705883,0.0058823529411764705,0.6029411764705882,7,volume_heavy,0.2048780487804878,0.03902439024390244,0.175609756097561,0.5121951219512195,0.058536585365853676,0.00975609756097561,-0.04895574774684967,0.0,0.0558282141107764,2026-08-03,2026-08-04,defensive_mode,ABOVE_MA200_RISK_ON,13687.900390625,12944.968037109375,False,volume_heavy,10,0.0,0.5,True,0.01776074409639125,HOLD,64.9
YKBNK.IS,-0.16049382716049387,-0.05133928975318458,-0.17234667759197897,0.38383028640310113,0.0,0.030055431949877608,0.008823529411764706,0.11764705882352942,0.052941176470588235,0.35,0.03529411764705883,0.008823529411764707,0.5735294117647058,8,volume_heavy,0.015384615384615385,0.20512820512820518,0.09230769230769231,0.6102564102564103,0.061538461538461556,0.015384615384615389,-0.0915288101609464,0.0040922955081418,0.10687414369202253,2026-08-03,2026-08-04,defensive_mode,ABOVE_MA200_RISK_ON,13687.900390625,12944.968037109375,False,volume_heavy,10,0.0,0.5,True,0.01776074409639125,HOLD,64.9
ASELS.IS,-0.12605588044184535,-0.22119281991893458,0.10882110469909323,0.3836388857255175,0.5,0.03235526843192448,0.026470588235294117,0.011764705882352941,0.12352941176470587,0.32941176470588235,0.07647058823529412,0.0029411764705882353,0.5705882352941176,9,volume_heavy,0.04639175257731959,0.020618556701030927,0.21649484536082475,0.577319587628866,0.13402061855670105,0.005154639175257732,-0.0898706709961463,0.04033634586296115,0.15392126090477656,2026-08-03,2026-08-04,defensive_mode,ABOVE_MA200_RISK_ON,13687.900390625,12944.968037109375,False,volume_heavy,10,0.0,0.5,True,0.01776074409639125,BUY,64.9
TOASO.IS,-0.11183673469387756,-0.04895104895104896,-0.10815192473526924,0.1442249186723381,0.0,0.02655514805485416,0.052941176470588235,0.12941176470588237,0.07058823529411765,0.24705882352941178,0.03529411764705883,0.017647058823529415,0.5529411764705883,10,volume_heavy,0.09574468085106383,0.23404255319148937,0.1276595744680851,0.44680851063829785,0.06382978723404256,0.03191489361702128,0.0050933786078097,0.06244940529957706,0.1096817394136207,2026-08-03,2026-08-04,defensive_mode,ABOVE_MA200_RISK_ON,13687.900390625,12944.968037109375,False,volume_heavy,10,0.0,0.5,True,0.01776074409639125,BUY,64.9
