date,model,portfolio_size,holdings,gross_return,transaction_cost,net_return,equity,period
2018-06-30,momentum_heavy,3,3,0.04485778832596066,0.002,0.042857788325960655,1.0428577883259607,train
2018-07-31,momentum_heavy,3,3,0.07904266367651787,0.002,0.07704266367651787,1.1232023301743947,train
2018-08-31,momentum_heavy,3,3,0.016615106283119907,0.002,0.014615106283119907,1.1396180516073415,train
2018-09-30,momentum_heavy,3,3,-0.10854853132098048,0.002,-0.11054853132098048,1.0136349497352726,train
2018-10-31,momentum_heavy,3,3,0.015412983206816463,0.002,0.013412983206816463,1.027230818293914,train
2018-11-30,momentum_heavy,3,3,-0.004494734089038184,0.002,-0.006494734089038184,1.02055922728103,train
2018-12-31,momentum_heavy,3,3,0.13147821806341672,0.002,0.12947821806341672,1.152699417457555,train
2019-01-31,momentum_heavy,3,3,0.0389897698999605,0.002,0.0369897698999605,1.1953375036731284,train
2019-02-28,momentum_heavy,3,3,-0.12364546391457105,0.002,-0.12564546391457104,1.045148768489633,train
2019-03-31,momentum_heavy,3,3,-0.009602599334337825,0.002,-0.011602599334337825,1.0330223260840712,train
2019-04-30,momentum_heavy,3,3,0.015823488386594493,0.002,0.013823488386594493,1.047302298211787,train
2019-05-31,momentum_heavy,3,3,0.10253102769399158,0.002,0.10053102769399158,1.1525886745572973,train
2019-06-30,momentum_heavy,3,3,0.0653249598797292,0.002,0.06332495987972919,1.2255763061314684,train
2019-07-31,momentum_heavy,3,3,0.07684728461651147,0.002,0.07484728461651147,1.3173073647357432,train
2019-08-31,momentum_heavy,3,3,-0.027772925789923446,0.002,-0.029772925789923445,1.2780872703229462,train
2019-09-30,momentum_heavy,3,3,-0.1066061113663691,0.002,-0.1086061113663691,1.1392791819063137,train
2019-10-31,momentum_heavy,3,3,0.05801325212376155,0.002,0.05601325212376155,1.2030939139617849,train
2019-11-30,momentum_heavy,3,3,0.09811136988085882,0.002,0.09611136988085882,1.3187249181279763,train
2019-12-31,momentum_heavy,3,3,-0.06755431221234658,0.002,-0.06955431221234658,1.2270019134503019,train
2020-01-31,momentum_heavy,3,3,-0.050277497781224666,0.002,-0.05227749778122467,1.1628573236423452,train
2020-02-29,momentum_heavy,3,3,-0.2472841931332919,0.002,-0.2492841931332919,0.8729753739890239,train
2020-03-31,momentum_heavy,3,3,0.11064064883573055,0.002,0.10864064883573055,0.967815985036806,train
2020-04-30,momentum_heavy,3,3,0.08814111299929084,0.002,0.08614111299929084,1.0511847311663816,train
2020-05-31,momentum_heavy,3,3,0.10212567392125393,0.002,0.10012567392125393,1.1564353107901477,train
2020-06-30,momentum_heavy,3,3,0.019790710159896197,0.002,0.017790710159896195,1.1770091162230847,train
2020-07-31,momentum_heavy,3,3,-0.05343264041570661,0.002,-0.05543264041570661,1.1117643931174819,train
2020-08-31,momentum_heavy,3,3,0.11651162677124094,0.002,0.11451162677124094,1.2390743423597061,train
2020-09-30,momentum_heavy,3,3,0.04049446714140296,0.002,0.038494467141402956,1.2867718489174274,train
2020-10-31,momentum_heavy,3,3,0.04639936606791939,0.002,0.04439936606791939,1.3439037032834056,train
2020-11-30,momentum_heavy,3,3,0.2009529313093017,0.002,0.1989529313093017,1.611277284449065,train
2020-12-31,momentum_heavy,3,3,-0.03252475983280534,0.002,-0.03452475983280534,1.5556483231794063,train
2021-01-31,momentum_heavy,3,3,0.008727727193130383,0.002,0.0067277271931303825,1.566114300706208,train
2021-02-28,momentum_heavy,3,3,0.013581590810900527,0.002,0.011581590810900527,1.584252395700087,train
2021-03-31,momentum_heavy,3,3,0.10804344854237106,0.002,0.10604344854237106,1.7522519831016372,train
2021-04-30,momentum_heavy,3,3,-0.04995623422511523,0.002,-0.05195623422511523,1.661211568646186,train
2021-05-31,momentum_heavy,3,3,-0.07054994680992917,0.002,-0.07254994680992917,1.5406907577008662,train
2021-06-30,momentum_heavy,3,3,-0.013775702216140514,0.002,-0.015775702216140514,1.5163852791002173,train
2021-07-31,momentum_heavy,3,3,0.01078878591261856,0.002,0.00878878591261856,1.5297124646792755,train
2021-08-31,momentum_heavy,3,3,0.030984429764834103,0.002,0.028984429764834105,1.574050308172163,train
2021-09-30,momentum_heavy,3,3,0.11688821240502212,0.002,0.11488821240502212,1.7548901343136372,train
2021-10-31,momentum_heavy,3,3,0.2374086794974147,0.002,0.2354086794974147,2.168006503495451,train
2021-11-30,momentum_heavy,3,3,-0.03123398525324635,0.002,-0.03323398525324635,2.095955007329341,train
2021-12-31,momentum_heavy,3,3,0.021052247474824076,0.002,0.019052247474824077,2.1358876608250763,train
