model,period,portfolio_size,transaction_cost,strategy,months,strategy_total_return,bist100_total_return,excess_return_over_benchmark,avg_monthly_return,strategy_max_drawdown,bist100_max_drawdown,win_rate,selection_score,best_month,best_month_return,worst_month,worst_month_return
low_volatility,out_of_sample,3,0.001,top_3,32,0.6185133770203559,0.6655494608114982,-0.047036083791142325,0.01829517297925453,-0.24278968625261133,-0.1675447420399082,0.5625,-0.251365456296365,2025-12-31,0.22663421582652699,2024-07-31,-0.11530065347702771
low_volatility,out_of_sample,3,0.002,top_3,32,0.5681156970933567,0.6655494608114982,-0.0974337637181415,0.017295172979254533,-0.2460335065372401,-0.1675447420399082,0.5625,-0.3082507767926217,2025-12-31,0.22563421582652698,2024-07-31,-0.11630065347702771
low_volatility,out_of_sample,3,0.005,top_3,32,0.4258747137705219,0.6655494608114982,-0.23967474704097635,0.01429517297925453,-0.25570248408249663,-0.1675447420399082,0.53125,-0.4854547152059696,2025-12-31,0.22263421582652698,2024-07-31,-0.11930065347702772
low_volatility,out_of_sample,3,0.01,top_3,32,0.21612425024094883,0.6655494608114982,-0.4494252105705494,0.00929517297925453,-0.27161050807150544,-0.1675447420399082,0.5,-0.7426462267135603,2025-12-31,0.21763421582652698,2024-07-31,-0.1243006534770277
low_volatility,out_of_sample,5,0.001,top_5,32,0.40630484846066506,0.6655494608114982,-0.2592446123508332,0.013120651258360616,-0.2215574751065149,-0.1675447420399082,0.5,-0.452359562563863,2025-12-31,0.21877324295211598,2025-03-31,-0.12862915456493457
low_volatility,out_of_sample,5,0.002,top_5,32,0.3623546810664673,0.6655494608114982,-0.30319477974503095,0.012120651258360616,-0.22486793262992255,-0.1675447420399082,0.5,-0.502930645004876,2025-12-31,0.21777324295211598,2025-03-31,-0.12962915456493457
low_volatility,out_of_sample,5,0.005,top_5,32,0.23833932633165977,0.6655494608114982,-0.42721013447983847,0.009120651258360618,-0.2467114163227626,-0.1675447420399082,0.5,-0.6706329671253637,2025-12-31,0.21477324295211597,2025-03-31,-0.13262915456493457
low_volatility,out_of_sample,5,0.01,top_5,32,0.05554861457801663,0.6655494608114982,-0.6100008462334816,0.004120651258360619,-0.30936032671275715,-0.1675447420399082,0.5,-0.9787214996589959,2025-12-31,0.20977324295211597,2025-03-31,-0.13762915456493457
low_volatility,out_of_sample,10,0.001,top_10,32,0.39455207732839437,0.6655494608114982,-0.27099738348310387,0.012504454772641962,-0.16999946622618145,-0.1675447420399082,0.5,-0.36099631593546677,2025-12-31,0.22186933986234017,2025-03-31,-0.08808812585438928
low_volatility,out_of_sample,10,0.002,top_10,32,0.35097385724186103,0.6655494608114982,-0.3145756035696372,0.011504454772641962,-0.17924839298213624,-0.1675447420399082,0.5,-0.4230723895339097,2025-12-31,0.22086933986234017,2025-03-31,-0.08908812585438929
low_volatility,out_of_sample,10,0.005,top_10,32,0.22800740751644955,0.6655494608114982,-0.4375420532950487,0.00850445477264196,-0.2064359794843179,-0.1675447420399082,0.46875,-0.6160390122636845,2025-12-31,0.21786933986234017,2025-03-31,-0.09208812585438929
low_volatility,out_of_sample,10,0.01,top_10,32,0.04676080074073252,0.6655494608114982,-0.6187886600707657,0.003504454772641963,-0.24993519238245276,-0.1675447420399082,0.46875,-0.8842840448356712,2025-12-31,0.21286933986234016,2025-03-31,-0.09708812585438928
low_volatility,out_of_sample,15,0.001,top_15,32,0.665058764062407,0.6655494608114982,-0.0004906967490911907,0.018101141674057165,-0.1528004332523143,-0.1675447420399082,0.5625,-0.02484156325371978,2025-12-31,0.21931432084035007,2024-09-30,-0.09144944410267479
