symbol,selection_count,avg_next_month_return,median_next_month_return,worst_next_month_return,best_next_month_return
ASELS.IS,931,0.060205439753477426,0.05355131883687014,-0.15016218407513526,0.5133183029912063
PGSUS.IS,895,0.055895288781688326,0.03403195746534782,-0.2657856343993582,0.5467835759167563
THYAO.IS,907,0.04986966466972399,0.0037537636029680854,-0.2680250595027517,0.450396810946295
YKBNK.IS,886,0.04464621674546044,0.04579206547682424,-0.23741337091059822,0.4821052970742916
TOASO.IS,990,0.04113923817283519,0.04054054054054057,-0.27216002677716755,0.46343557452491546
FROTO.IS,1018,0.038246204489936174,0.015276152608018068,-0.32291011967140204,0.34766325242184504
SISE.IS,955,0.037857468187322066,0.03139019592100789,-0.20034250746506055,0.4491918397764234
BIMAS.IS,1133,0.03710837300552255,0.028588257036533005,-0.13669070627079427,0.2674485778417319
KCHOL.IS,1014,0.03700719920357216,0.021748831728272466,-0.23515992743041247,0.31598987071360685
GARAN.IS,919,0.03637987911325537,0.03311743610603668,-0.2500000169257629,0.5840220581204423
SAHOL.IS,977,0.03594924502819542,0.03773591409062527,-0.17938924770187603,0.3010083778594135
TUPRS.IS,1043,0.03365918077006679,0.002874401294836293,-0.25049387519023447,0.3646034820361663
EREGL.IS,961,0.03111082881155602,0.02535816268367097,-0.20643278062801151,0.34229394009645087
AKBNK.IS,846,0.02740086615483418,0.015384732081688224,-0.2444223565160505,0.38316816151399413
ARCLK.IS,864,0.023100257560106703,0.026163209565776335,-0.2505543879705562,0.3499480361534584
TCELL.IS,941,0.019568823477794758,0.010040143483910136,-0.17377807054898764,0.4242424172796493
PETKM.IS,725,0.010210293807876658,0.0,-0.18186369375089106,0.6057907362323618
