section,model,bucket,count,average_next_month_return,median_next_month_return,win_rate,average_excess_return,factor,pearson_corr,spearman_corr,label,win_rate_vs_bist100,cagr,bist100_cagr,excess_cagr,max_drawdown,portfolio,top_decile_capture,top_two_decile_capture,top3_capture,top5_capture,average_pre_move_rank,top_bottom_spread,top_quintile_return,bottom_quintile_return
rank_bucket,low_volatility,1.0,192,0.042060403308975425,0.0211791809917089,0.5729166666666666,0.010509441184775543,,,,,,,,,,,,,,,,,,
rank_bucket,low_volatility,2.0,192,0.0385697508932809,0.032958049044975235,0.59375,0.007018788769081015,,,,,,,,,,,,,,,,,,
rank_bucket,low_volatility,3.0,96,0.049777261787983605,0.04013748520441396,0.5729166666666666,0.018226299663783724,,,,,,,,,,,,,,,,,,
rank_bucket,low_volatility,4.0,192,0.036739821770253395,0.029261446372367494,0.6041666666666666,0.005188859646053511,,,,,,,,,,,,,,,,,,
rank_bucket,low_volatility,5.0,192,0.03821603409052866,0.02326796006734433,0.5885416666666666,0.006665071966328778,,,,,,,,,,,,,,,,,,
rank_bucket,low_volatility,6.0,96,0.048123016967608706,0.032055095698544256,0.625,0.01657205484340882,,,,,,,,,,,,,,,,,,
rank_bucket,low_volatility,7.0,192,0.026552620354463364,0.019178343565919076,0.5729166666666666,-0.004998341769736521,,,,,,,,,,,,,,,,,,
rank_bucket,low_volatility,8.0,96,0.03448987098300189,0.02746690470783475,0.6041666666666666,0.0029389088588020022,,,,,,,,,,,,,,,,,,
rank_bucket,low_volatility,9.0,192,0.03624556916153207,0.02272626820832091,0.578125,0.00469460703733218,,,,,,,,,,,,,,,,,,
rank_bucket,low_volatility,10.0,192,0.03742826275854618,0.01918903630217872,0.5729166666666666,0.005877300634346294,,,,,,,,,,,,,,,,,,
rank_bucket,mixed_model,1.0,192,0.04542299912603337,0.028071141251095,0.578125,0.013872037001833483,,,,,,,,,,,,,,,,,,
rank_bucket,mixed_model,2.0,192,0.03182520731908665,0.01823372871488549,0.5885416666666666,0.0002742451948867606,,,,,,,,,,,,,,,,,,
rank_bucket,mixed_model,3.0,96,0.03548860860888497,0.03131256819121908,0.5833333333333334,0.003937646484685087,,,,,,,,,,,,,,,,,,
rank_bucket,mixed_model,4.0,192,0.03764836729645904,0.020507805725238137,0.5729166666666666,0.006097405172259156,,,,,,,,,,,,,,,,,,
rank_bucket,mixed_model,5.0,192,0.03773720690372586,0.024808630042657986,0.5885416666666666,0.006186244779525979,,,,,,,,,,,,,,,,,,
rank_bucket,mixed_model,6.0,96,0.03674356210612852,0.03229536438345382,0.6041666666666666,0.005192599981928638,,,,,,,,,,,,,,,,,,
rank_bucket,mixed_model,7.0,192,0.032715098978134384,0.026409021189532145,0.5729166666666666,0.0011641368539345037,,,,,,,,,,,,,,,,,,
rank_bucket,mixed_model,8.0,96,0.051798148901457675,0.03715831029063699,0.59375,0.020247186777257783,,,,,,,,,,,,,,,,,,
rank_bucket,mixed_model,9.0,192,0.03521366725590401,0.027000893895930633,0.625,0.003662705131704126,,,,,,,,,,,,,,,,,,
rank_bucket,mixed_model,10.0,192,0.039429830519298194,0.02509460843067468,0.5677083333333334,0.00787886839509831,,,,,,,,,,,,,,,,,,
rank_bucket,momentum_heavy,1.0,192,0.04036977744938161,0.021489941331514717,0.5625,0.008818815325181733,,,,,,,,,,,,,,,,,,
rank_bucket,momentum_heavy,2.0,192,0.04313180816544451,0.019897995051119888,0.6354166666666666,0.011580846041244633,,,,,,,,,,,,,,,,,,
rank_bucket,momentum_heavy,3.0,96,0.03852563554671317,0.03948140581340798,0.6041666666666666,0.006974673422513281,,,,,,,,,,,,,,,,,,
rank_bucket,momentum_heavy,4.0,192,0.03277494281818511,0.017564571863009748,0.5572916666666666,0.0012239806939852258,,,,,,,,,,,,,,,,,,
rank_bucket,momentum_heavy,5.0,192,0.030041238613108995,0.018724743348942474,0.546875,-0.001509723511090883,,,,,,,,,,,,,,,,,,
rank_bucket,momentum_heavy,6.0,96,0.03896856441366206,0.02135265416432497,0.5833333333333334,0.007417602289462176,,,,,,,,,,,,,,,,,,
rank_bucket,momentum_heavy,7.0,192,0.040691322700292056,0.03427863634072048,0.6197916666666666,0.009140360576092174,,,,,,,,,,,,,,,,,,
rank_bucket,momentum_heavy,8.0,96,0.027411500689827884,0.010322483670623939,0.53125,-0.004139461434371995,,,,,,,,,,,,,,,,,,
