policy,base_model,base_portfolio_size,period,months,bear_months,avg_exposure,total_return,bist100_total_return,excess_return_vs_bist100,max_drawdown,bist100_max_drawdown,win_rate,robustness_score
cash_mode,volume_heavy,3,validation,24,0,1.0,3.384405549847518,3.2415637612067236,0.14284178864079422,-0.11786428057324316,-0.1617839465479347,0.625,0.2196132274943079
cash_mode,volume_heavy,5,out_of_sample,32,7,1.0,-0.02489148803745611,0.590013878393095,-0.6149053664305512,-0.27044674854033846,-0.1675447420399082,0.375,-0.9682988635112282
cash_mode,volume_heavy,5,train,39,12,1.0,0.4871289728940926,1.2208251837732145,-0.7336962108791218,-0.26715352912154555,-0.24757740982109977,0.41025641025641024,-1.0628750639940079
cash_mode,volume_heavy,5,validation,24,0,1.0,3.0591585902708234,3.2415637612067236,-0.18240517093590025,-0.10994832620078976,-0.1617839465479347,0.625,-0.08980182333747977
cash_mode,volume_heavy,10,out_of_sample,32,7,1.0,0.17702538823388103,0.590013878393095,-0.412988490159214,-0.234256323735614,-0.1675447420399082,0.375,-0.694001137630442
cash_mode,volume_heavy,10,train,39,12,1.0,0.6521939730785293,1.2208251837732145,-0.5686312106946851,-0.2285448810549915,-0.24757740982109977,0.38461538461538464,-0.8334132804969758
cash_mode,volume_heavy,10,validation,24,0,1.0,3.7001910589818108,3.2415637612067236,0.45862729777508715,-0.13430994049284062,-0.1617839465479347,0.6666666666666666,0.5233407501227392
cash_mode,volume_heavy,15,out_of_sample,32,7,1.0,0.2678067843841774,0.590013878393095,-0.32220709400891767,-0.20242632387458748,-0.1675447420399082,0.40625,-0.5239347417580926
cash_mode,volume_heavy,15,train,39,12,1.0,0.42062966163027626,1.2208251837732145,-0.8001955221429382,-0.2595727680833787,-0.24757740982109977,0.358974358974359,-1.139853878822516
cash_mode,volume_heavy,15,validation,24,0,1.0,3.910748632348321,3.2415637612067236,0.6691848711415975,-0.09063057819753262,-0.1617839465479347,0.6666666666666666,0.8212570480798655
defensive_mode,low_volatility,3,out_of_sample,32,7,1.0,0.3945118930681244,0.590013878393095,-0.19550198532497065,-0.2460334247338598,-0.1675447420399082,0.53125,-0.42194383479269026
