bist100_close,bist100_ma200,bist100_below_ma200,date
902.0022583007812,1034.6920697021485,True,2018-10-31
954.1549072265624,1009.1054016113281,True,2018-11-30
912.7001953125,984.2916940307617,True,2018-12-31
1040.7364501953125,963.0333682250977,False,2019-01-31
1045.29345703125,959.6852770996094,False,2019-02-28
937.8369750976562,959.4880892944336,True,2019-03-31
954.1509399414062,959.9881478881836,True,2019-04-30
905.8921508789062,953.4349676513672,True,2019-05-31
964.847900390625,954.8228302001953,False,2019-06-30
1020.819580078125,959.0937158203125,False,2019-07-31
967.1798706054688,961.5584631347656,False,2019-08-31
1050.3243408203125,969.852622680664,False,2019-09-30
984.6797485351562,979.1565576171874,False,2019-10-31
1069.0313720703125,984.5058255004883,False,2019-11-30
1144.243896484375,992.3537643432617,False,2019-12-31
1191.3946533203125,1014.6133355712891,False,2020-01-31
1059.931396484375,1037.7510638427734,False,2020-02-29
896.4322509765625,1045.3387884521485,True,2020-03-31
1011.0956420898438,1045.1114447021484,True,2020-04-30
1055.1993408203125,1044.876521911621,False,2020-05-31
1165.2418212890625,1059.7066427612306,False,2020-06-30
1126.89404296875,1075.7765649414061,False,2020-07-31
1078.59423828125,1086.241046447754,True,2020-08-31
1145.19384765625,1090.2526675415038,False,2020-09-30
1112.3941650390625,1093.9314608764648,False,2020-10-31
1283.5931396484375,1099.524855041504,False,2020-11-30
1476.692138671875,1129.0021127319335,False,2020-12-31
1473.4921875,1192.4277114868164,False,2021-01-31
1471.3922119140625,1246.7911328125,False,2021-02-28
1391.692626953125,1296.567555541992,False,2021-03-31
1397.7926025390625,1320.1739514160156,False,2021-04-30
1420.492431640625,1346.8198510742188,False,2021-05-31
1356.2928466796875,1382.3296636962891,True,2021-06-30
1392.892578125,1403.5095532226562,True,2021-07-31
1472.0921630859375,1432.0174041748046,False,2021-08-31
1406.392578125,1446.0393310546874,True,2021-09-30
1521.991943359375,1447.557823486328,False,2021-10-31
1809.6903076171875,1464.2797351074219,False,2021-11-30
1857.6900634765625,1513.9819708251953,False,2021-12-31
2003.1893310546875,1572.147661743164,False,2022-01-31
1946.1895751953125,1632.4773400878905,False,2022-02-28
2233.2880859375,1708.8379370117189,False,2022-03-31
2430.587158203125,1818.8093475341798,False,2022-04-30
2547.086669921875,1911.5503515625,False,2022-05-31
2405.38720703125,2031.3552172851562,False,2022-06-30
2592.38623046875,2128.352705078125,False,2022-07-31
3171.18310546875,2282.7408862304687,False,2022-08-31
3179.983154296875,2443.080534057617,False,2022-09-30
3978.97900390625,2628.0955560302737,False,2022-10-31
4977.57373046875,2908.250075073242,False,2022-11-30
5509.1708984375,3262.0276989746094,False,2022-12-31
4976.57373046875,3590.0069555664063,False,2023-01-31
5237.27197265625,3788.5764025878907,False,2023-02-28
4812.87451171875,4093.849287109375,False,2023-03-31
4617.87548828125,4330.688525390625,False,2023-04-30
4886.8740234375,4536.117930908204,False,2023-05-31
5759.0693359375,4751.155791015625,False,2023-06-30
7216.9619140625,5079.527547607422,False,2023-07-31
7917.85791015625,5481.042912597656,False,2023-08-31
8334.8564453125,5830.613547363281,False,2023-09-30
7514.06005859375,6124.521489257812,False,2023-10-31
7948.55810546875,6430.323876953125,False,2023-11-30
7470.16064453125,6682.096538085938,False,2023-12-31
8496.6552734375,7010.307797851562,False,2024-01-31
9193.6513671875,7466.90787109375,False,2024-02-29
9142.3515625,7880.757685546875,False,2024-03-31
10045.646484375,8213.98289794922,False,2024-04-30
10400.4453125,8582.31793701172,False,2024-05-31
10647.84375,8798.216811523438,False,2024-06-30
10638.54296875,9095.600725097656,False,2024-07-31
9833.1484375,9319.54403564453,False,2024-08-31
9665.748046875,9517.980476074219,False,2024-09-30
8863.853515625,9659.177739257813,True,2024-10-31
9651.94921875,9758.298217773438,True,2024-11-30
9830.5478515625,9840.675766601562,True,2024-12-31
10004.34765625,9938.46224609375,False,2025-01-31
9658.6494140625,9919.281884765625,True,2025-02-28
9659.44921875,9882.925063476563,True,2025-03-31
9078.3525390625,9751.616733398438,True,2025-04-30
9019.5517578125,9624.783408203126,True,2025-05-31
9948.447265625,9578.596147460938,False,2025-06-30
10743.1435546875,9670.948154296875,False,2025-07-31
11288.099609375,9903.631728515626,False,2025-08-31
11012.099609375,10053.588823242188,False,2025-09-30
10971.5,10139.277124023438,False,2025-10-31
10898.7001953125,10229.303388671875,False,2025-11-30
11261.5,10370.414702148437,False,2025-12-31
13838.2998046875,10673.366142578125,False,2026-01-31
13717.7998046875,11130.962612304687,False,2026-02-28
12791.0,11509.961860351563,False,2026-03-31
14442.599609375,11941.090336914063,False,2026-04-30
13662.7998046875,12235.011396484375,False,2026-05-31
13704.0,12248.340190429688,False,2026-06-30
